,0,1,2,3
1066,EME Homer City Generation LP,27-Feb-2008,31-Dec-2007,—
1067,Midwest Generation LLC,27-Feb-2008,31-Dec-2007,—
1068,Edison Mission Energy,27-Feb-2008,31-Dec-2007,—
1069,Southern California Edison Co,27-Feb-2008,31-Dec-2007,SCE_pe.A^I20
1070,Edison International,27-Feb-2008,31-Dec-2007,EIX.N
1071,Baltimore Gas and Electric Co,27-Feb-2008,31-Dec-2007,BGLEN.PK^I16
1072,San Diego Gas & Electric Co,26-Feb-2008,31-Dec-2007,SDO_ph.A^J13
1073,Northern States Power Co (Wisconsin),25-Feb-2008,31-Dec-2007,—
1074,Public Service Company of Colorado,25-Feb-2008,31-Dec-2007,—
1075,Northern States Power Co,25-Feb-2008,31-Dec-2007,—
1076,Alabama Power Co,25-Feb-2008,31-Dec-2007,ALP_pq.N^J22
1077,Pacific Gas and Electric Co,22-Feb-2008,31-Dec-2007,PCG_pa.A
1078,PG&E Corp,22-Feb-2008,31-Dec-2007,PCG.N
1079,Consolidated Edison Company of New York Inc,22-Feb-2008,31-Dec-2007,CEDNM.PK^E12
1080,Pacific Gas and Electric Co,22-Feb-2008,31-Dec-2007,PCG_pa.A
1081,PG&E Corp,22-Feb-2008,31-Dec-2007,PCG.N
1082,DPL Inc,22-Feb-2008,31-Dec-2007,DPL.N^K11
1083,Xcel Energy Inc,20-Feb-2008,31-Dec-2007,XEL.OQ
1084,Southwestern Public Service Co,20-Feb-2008,31-Dec-2007,SPS.N^H97
1085,UIL Holdings Corp (Pre-Merger),20-Feb-2008,20-Feb-2008,UIL.N^L15
1086,NSTAR Electric Co,15-Feb-2008,31-Dec-2007,NSARO.PK
1087,ALLETE Inc,15-Feb-2008,31-Dec-2007,ALE.N
1088,CH Energy Group Inc,13-Feb-2008,31-Dec-2007,CHG.N^F13
1089,Ridgewood Power Growth Fund,14-Dec-2007,31-Dec-2006,—
1090,Tennessee Valley Authority,12-Dec-2007,30-Sep-2007,TVC.N
1091,Commerce Energy Group Inc,29-Oct-2007,31-Jul-2007,CMNR.PK
1092,Ridgewood Power Growth Fund,17-Aug-2007,31-Dec-2005,—
1093,Niagara Mohawk Power Corp,28-Jun-2007,31-Mar-2007,NMK_pb.N
1094,US Geothermal Inc,28-Jun-2007,31-Mar-2007,HTM.A^D18
1095,US Energy Systems Inc,08-Jun-2007,31-Dec-2006,USEYQ.PK^B11
1096,AES Corp,23-May-2007,31-Dec-2006,AES.N
1097,Pineapple Energy Inc,16-May-2007,31-Dec-2006,PEGY.OQ
1098,Hawaiian Electric Company Inc,20-Apr-2007,31-Dec-2002,HAWLI.PK
1099,Ipalco Enterprises Inc,17-Apr-2007,31-Dec-2006,IPL.N^C01
1100,Chugach Electric Association Inc,02-Apr-2007,31-Dec-2006,—
1101,Duke Energy Ohio Inc,02-Apr-2007,31-Dec-2006,CINUP.PK^H09
1102,Duke Energy Indiana LLC,02-Apr-2007,31-Dec-2006,CIN_pb.N^E06
1103,Environmental Power Corp,30-Mar-2007,31-Dec-2006,EPGRQ.PK
1104,AEP Texas Central Transition Funding II LLC,30-Mar-2007,31-Dec-2006,—
1105,CenterPoint Energy Transition Bond II Co LLC,29-Mar-2007,31-Dec-2006,—
1106,Centerpoint Energy Transition Bond Company LLC,29-Mar-2007,31-Dec-2006,—
1107,Oglethorpe Power Corp,27-Mar-2007,31-Dec-2006,—
1108,Pg&E Energy Recovery Funding LLC,27-Mar-2007,31-Dec-2006,—
1109,Oncor Electric Delivery Transition Bond Company LLC,22-Mar-2007,31-Dec-2006,—
1110,Black Hills Power Inc,22-Mar-2007,31-Dec-2006,—
1111,Dynegy Holdings LLC,19-Mar-2007,31-Dec-2006,—
1112,Maine & Maritimes Corp,16-Mar-2007,31-Dec-2006,MAM.A^L10
1113,Genon North America LLC,16-Mar-2007,31-Dec-2006,—
1114,Duke Energy Carolinas LLC,16-Mar-2007,31-Dec-2006,—
1115,NSTAR Electric Co,15-Mar-2007,31-Dec-2006,NSARO.PK
1116,Central Vermont Public Service Corp,15-Mar-2007,31-Dec-2006,CV.N^F12
1117,Calpine Corp,14-Mar-2007,31-Dec-2006,CPN.N^C18
1118,Green Mountain Power Corp,13-Mar-2007,31-Dec-2006,GMP.N^D07
1119,Centerpoint Energy Houston Electric LLC,09-Mar-2007,31-Dec-2006,HSLPP.PK^H09
1120,ITC Holdings Corp,08-Mar-2007,31-Dec-2006,ITC.N^J16
1121,Texas Competitive Electric Holdings Company LLC,08-Mar-2007,31-Dec-2006,—
1122,Oncor Electric Delivery Company LLC,07-Mar-2007,31-Dec-2006,—
1123,DTE Electric Co,06-Mar-2007,31-Dec-2006,—
1124,Portland General Electric Co,02-Mar-2007,31-Dec-2006,POR.N
1125,Arkhan Corp,02-Mar-2007,31-Dec-2006,ATLS.OQ^B11
1126,Pacificorp,02-Mar-2007,31-Dec-2006,PPWLO.PK
1127,Alliant Energy Corp,01-Mar-2007,31-Dec-2006,LNT.OQ
1128,DTE Energy Co,01-Mar-2007,31-Dec-2006,DTE.N
1129,NV Energy Inc,01-Mar-2007,31-Dec-2006,NVE.N^L13
1130,Ameren Corp,01-Mar-2007,31-Dec-2006,AEE.N
1131,Berkshire Hathaway Energy Co,01-Mar-2007,31-Dec-2006,—
1132,MidAmerican Energy Co,01-Mar-2007,31-Dec-2006,—
1133,Genon Energy Holdings LLC,01-Mar-2007,31-Dec-2006,MIR.N^L10
1134,Duquesne Light Co,01-Mar-2007,31-Dec-2006,DQUEK.PK^D15
1135,PNM Resources Inc,01-Mar-2007,31-Dec-2006,PNM.N
1136,TodCo,01-Mar-2007,31-Dec-2006,THE.N^G07
1137,Puget Energy Inc,01-Mar-2007,01-Mar-2007,PSD.N^B09
1138,Evergy Kansas Central Inc,01-Mar-2007,31-Dec-2006,WREGH.PK^F02
1139,Idacorp Inc,01-Mar-2007,31-Dec-2006,IDA.N
1140,Atlantic City Electric Co,01-Mar-2007,31-Dec-2006,ANTEM.PK^C11
1141,Evergy Missouri West Inc,01-Mar-2007,31-Dec-2006,ILA.N^G08
1142,Avangrid Inc,01-Mar-2007,30-Dec-2006,AGR.N
1143,Connecticut Light and Power Co,01-Mar-2007,31-Dec-2006,CNLPL.PK
1144,Arizona Public Service Co,28-Feb-2007,31-Dec-2006,AZD.N^A00
1145,WEC Energy Group Inc,28-Feb-2007,31-Dec-2006,WEC.N
1146,Ohio Power Co,28-Feb-2007,31-Dec-2006,OHIPM.PK^K11
1147,Indiana Michigan Power Co,28-Feb-2007,31-Dec-2006,IMIGO.PK^K11
1148,Kentucky Power Co,28-Feb-2007,31-Dec-2006,—
1149,Columbus Southern Power Co,28-Feb-2007,31-Dec-2006,COCSP.PK^K06
1150,Appalachian Power Co,28-Feb-2007,31-Dec-2006,APPWM.OB^K11
1151,AEP Texas Central Co,28-Feb-2007,31-Dec-2006,ATXCH.PK^K11
1152,AEP Texas North Co,28-Feb-2007,31-Dec-2006,ATXAN.PK^K11
1153,Aep Generating Co,28-Feb-2007,31-Dec-2006,—
1154,American Electric Power Company Inc,28-Feb-2007,31-Dec-2006,AEP.OQ
1155,Southwestern Electric Power Co,28-Feb-2007,31-Dec-2006,SWSEO.PK^K11
1156,NRG Energy Inc,28-Feb-2007,31-Dec-2006,NRG.N
1157,Arizona Public Service Co,28-Feb-2007,31-Dec-2006,AZD.N^A00
1158,TECO Energy Inc,28-Feb-2007,31-Dec-2006,TE.N^G16
1159,Tucson Electric Power Co,28-Feb-2007,31-Dec-2006,—
1160,El Paso Electric Co,28-Feb-2007,31-Dec-2006,EE.N^G20
1161,Virginia Electric and Power Co,28-Feb-2007,31-Dec-2006,VEL_pe.N^J14
1162,Dominion Energy Inc,28-Feb-2007,31-Dec-2006,D.N
1163,EME Homer City Generation LP,28-Feb-2007,31-Dec-2006,—
1164,EME Homer City Generation LP,28-Feb-2007,31-Dec-2006,—
1165,Midwest Generation LLC,28-Feb-2007,31-Dec-2006,—
1166,Edison Mission Energy,28-Feb-2007,31-Dec-2006,—
1167,Southern California Edison Co,28-Feb-2007,31-Dec-2006,SCE_pe.A^I20
1168,Allegheny Generating Co,28-Feb-2007,31-Dec-2006,—
1169,Monongahela Power Co,28-Feb-2007,31-Dec-2006,MPN_pa.A^I07
1170,WEC Energy Group Inc,28-Feb-2007,31-Dec-2006,WEC.N
1171,Alabama Power Co,27-Feb-2007,31-Dec-2006,ALP_pq.N^J22
1172,Cleco Corporate Holdings LLC,27-Feb-2007,31-Dec-2006,CNL.N^D16
1173,Baltimore Gas and Electric Co,27-Feb-2007,31-Dec-2006,BGLEN.PK^I16
1174,Florida Power & Light Co,27-Feb-2007,31-Dec-2006,ELB.N^L03
1175,Evergy Metro Inc,27-Feb-2007,31-Dec-2006,—
1176,Northern States Power Co,27-Feb-2007,31-Dec-2006,—
1177,Madison Gas and Electric Co,26-Feb-2007,31-Dec-2006,—
1178,MGE Energy Inc,26-Feb-2007,31-Dec-2006,MGEE.OQ
1179,CMS Energy Corp,23-Feb-2007,31-Dec-2006,CMS.N
1180,Southwestern Public Service Co,23-Feb-2007,31-Dec-2006,SPS.N^H97
1181,Xcel Energy Inc,23-Feb-2007,31-Dec-2006,XEL.OQ
1182,San Diego Gas & Electric Co,23-Feb-2007,31-Dec-2006,SDO_ph.A^J13
1183,PG&E Corp,22-Feb-2007,31-Dec-2006,PCG.N
1184,WD Media LLC,22-Feb-2007,31-Dec-2006,KOMG.OQ^I07
1185,DPL Inc,22-Feb-2007,31-Dec-2006,DPL.N^K11
1186,Consolidated Edison Company of New York Inc,21-Feb-2007,31-Dec-2006,CEDNM.PK^E12
1187,UIL Holdings Corp (Pre-Merger),20-Feb-2007,20-Feb-2007,UIL.N^L15
1188,NSTAR,16-Feb-2007,31-Dec-2006,NST.DG^D12
1189,ALLETE Inc,16-Feb-2007,31-Dec-2006,ALE.N
1190,OGE Energy Corp,16-Feb-2007,31-Dec-2006,OGE.N
1191,Central Hudson Gas & Electric Corp,13-Feb-2007,31-Dec-2006,CHGEM.OB^C13
1192,CH Energy Group Inc,13-Feb-2007,31-Dec-2006,CHG.N^F13
1193,CE Casecnan Water & Energy Co Inc,08-Feb-2007,31-Dec-2006,—
1194,Tennessee Valley Authority,15-Dec-2006,30-Sep-2006,TVC.N
1195,Commerce Energy Group Inc,30-Oct-2006,31-Jul-2006,CMNR.PK
1196,Niagara Mohawk Power Corp,29-Jun-2006,31-Mar-2006,NMK_pb.N
1197,Pacificorp,30-May-2006,31-Mar-2006,PPWLO.PK
1198,US Energy Systems Inc,12-Apr-2006,31-Dec-2005,USEYQ.PK^B11
1199,AES Corp,04-Apr-2006,31-Dec-2005,AES.N
1200,Central Vermont Public Service Corp,03-Apr-2006,31-Dec-2005,CV.N^F12
1201,Central Vermont Public Service Corp,31-Mar-2006,31-Dec-2005,CV.N^F12
1202,Cap Rock Energy LLC,31-Mar-2006,31-Dec-2005,RKE.A^E06
1203,Ipalco Enterprises Inc,31-Mar-2006,31-Dec-2005,IPL.N^C01
1204,Chugach Electric Association Inc,31-Mar-2006,31-Dec-2005,—
1205,Oglethorpe Power Corp,30-Mar-2006,31-Dec-2005,—
1206,Pineapple Energy Inc,30-Mar-2006,31-Dec-2005,PEGY.OQ
1207,Kentucky Utilities Co,30-Mar-2006,31-Dec-2005,KUTLP.PK^J05
1208,Pg&E Energy Recovery Funding LLC,30-Mar-2006,31-Dec-2005,—
1209,Teco Capital Trust II,29-Mar-2006,31-Dec-2005,—
1210,Centerpoint Energy Transition Bond Company LLC,29-Mar-2006,31-Dec-2005,—
1211,SDG&E Funding LLC,29-Mar-2006,31-Dec-2005,—
1212,Dynegy Holdings LLC,29-Mar-2006,31-Dec-2005,—
1213,Environmental Power Corp,28-Mar-2006,31-Dec-2005,EPGRQ.PK
1214,Black Hills Power Inc,27-Mar-2006,31-Dec-2005,—
1215,Ormat Funding LLC,27-Mar-2006,31-Dec-2005,—
1216,Maine & Maritimes Corp,24-Mar-2006,31-Dec-2005,MAM.A^L10
1217,Centerpoint Energy Houston Electric LLC,24-Mar-2006,31-Dec-2005,HSLPP.PK^H09
1218,Esi Tractebel Acquisition Corp,24-Mar-2006,31-Dec-2005,—
1219,ITC Holdings Corp,16-Mar-2006,31-Dec-2005,ITC.N^J16
1220,Portland General Electric Co,16-Mar-2006,31-Dec-2005,POR.N
1221,Otter Tail Corp,15-Mar-2006,31-Dec-2005,OTTR.OQ
1222,Green Mountain Power Corp,15-Mar-2006,31-Dec-2005,GMP.N^D07
1223,Otter Tail Corp,15-Mar-2006,31-Dec-2005,OTTR.OQ
1224,Msw Energy Holdings II LLC,15-Mar-2006,31-Dec-2005,—
1225,MSW Energy Holdings LLC,15-Mar-2006,31-Dec-2005,—
1226,Genon Energy Holdings LLC,14-Mar-2006,31-Dec-2005,MIR.N^L10
1227,El Paso Electric Co,14-Mar-2006,31-Dec-2005,EE.N^G20
1228,Evergy Kansas South Inc,13-Mar-2006,31-Dec-2005,—
1229,Evergy Kansas Central Inc,13-Mar-2006,31-Dec-2005,WREGH.PK^F02
1230,Duke Energy Florida LLC,10-Mar-2006,31-Dec-2005,FLPWP.PK^C13
1231,Empire District Electric Co,10-Mar-2006,31-Dec-2005,EDE.N^A17
1232,Oncor Electric Delivery Transition Bond Company LLC,09-Mar-2006,31-Dec-2005,—
1233,Oncor Electric Delivery Company LLC,09-Mar-2006,31-Dec-2005,—
1234,Madison Gas and Electric Co,08-Mar-2006,31-Dec-2005,—
1235,Evergy Metro Inc,08-Mar-2006,31-Dec-2005,—
1236,DTE Electric Co,08-Mar-2006,31-Dec-2005,—
1237,DTE Energy Co,08-Mar-2006,31-Dec-2005,DTE.N
1238,NSTAR Electric Co,08-Mar-2006,31-Dec-2005,NSARO.PK
1239,Ameren Corp,07-Mar-2006,31-Dec-2005,AEE.N
1240,Dayton Power and Light Co,07-Mar-2006,31-Dec-2005,DAYPO.PK^J16
1241,Duquesne Light Co,07-Mar-2006,31-Dec-2005,DQUEK.PK^D15
1242,Hawaiian Electric Company Inc,07-Mar-2006,31-Dec-2005,HAWLI.PK
1243,Idacorp Inc,07-Mar-2006,31-Dec-2005,IDA.N
1244,EME Homer City Generation LP,07-Mar-2006,31-Dec-2005,—
1245,Midwest Generation LLC,07-Mar-2006,31-Dec-2005,—
1246,Mission Energy Holding Co,07-Mar-2006,31-Dec-2005,—
1247,Southern California Edison Co,07-Mar-2006,31-Dec-2005,SCE_pe.A^I20
1248,Edison International,07-Mar-2006,31-Dec-2005,EIX.N
1249,TECO Energy Inc,07-Mar-2006,31-Dec-2005,TE.N^G16
1250,Evergy Missouri West Inc,07-Mar-2006,31-Dec-2005,ILA.N^G08
1251,WD Media LLC,07-Mar-2006,01-Jan-2006,KOMG.OQ^I07
1252,Wisconsin Electric Power Co,06-Mar-2006,31-Dec-2005,WELPP.PK
1253,NV Energy Inc,06-Mar-2006,31-Dec-2005,NVE.N^L13
1254,Texas Competitive Electric Holdings Company LLC,06-Mar-2006,31-Dec-2005,—
1255,Duke Energy Carolinas LLC,06-Mar-2006,31-Dec-2005,—
1256,Sempra Texas Holdings Corp,06-Mar-2006,31-Dec-2005,—
1257,Ridgewood Power Growth Fund,03-Mar-2006,31-Dec-2004,—
1258,MidAmerican Energy Co,03-Mar-2006,31-Dec-2005,—
1259,Baltimore Gas and Electric Co,03-Mar-2006,31-Dec-2005,BGLEN.PK^I16
1260,WEC Energy Group Inc,02-Mar-2006,31-Dec-2005,WEC.N
1261,WEC Energy Group Inc,02-Mar-2006,31-Dec-2005,WEC.N
1262,Virginia Electric and Power Co,02-Mar-2006,31-Dec-2005,VEL_pe.N^J14
1263,Dominion Energy South Carolina Inc,02-Mar-2006,31-Dec-2005,SCG_p.N^L09
1264,Avangrid Inc,01-Mar-2006,31-Dec-2005,AGR.N
1265,Potomac Edison Co,01-Mar-2006,31-Dec-2005,—
1266,Monongahela Power Co,01-Mar-2006,31-Dec-2005,MPN_pa.A^I07
1267,Allegheny Generating Co,01-Mar-2006,31-Dec-2005,—
1268,Ridgewood Power Growth Fund,01-Mar-2006,31-Dec-2003,—
1269,Allegheny Energy Inc,01-Mar-2006,31-Dec-2005,AYE.N^B11
1270,Cleco Corporate Holdings LLC,28-Feb-2006,31-Dec-2005,CNL.N^D16
1271,TodCo,28-Feb-2006,31-Dec-2005,THE.N^G07
1272,Wec Acquisition Corp,28-Feb-2006,31-Dec-2005,TEG.N^F15
1273,Public Service Company of Colorado,28-Feb-2006,31-Dec-2005,—
1274,Northern States Power Co,28-Feb-2006,31-Dec-2005,—
1275,Southwestern Public Service Co,28-Feb-2006,31-Dec-2005,SPS.N^H97
1276,Northern States Power Co (Wisconsin),28-Feb-2006,31-Dec-2005,—
1277,Puget Energy Inc,28-Feb-2006,27-Feb-2006,PSD.N^B09
1278,Xcel Energy Inc,27-Feb-2006,31-Dec-2005,XEL.OQ
1279,CMS Energy Corp,24-Feb-2006,31-Dec-2005,CMS.N
1280,OGE Energy Corp,24-Feb-2006,31-Dec-2005,OGE.N
1281,Florida Power & Light Co,23-Feb-2006,31-Dec-2005,ELB.N^L03
1282,UIL Holdings Corp (Pre-Merger),21-Feb-2006,17-Feb-2006,UIL.N^L15
1283,NSTAR,21-Feb-2006,31-Dec-2005,NST.DG^D12
1284,Pacific Gas and Electric Co,17-Feb-2006,31-Dec-2005,PCG_pa.A
1285,PG&E Corp,17-Feb-2006,31-Dec-2005,PCG.N
1286,CH Energy Group Inc,17-Feb-2006,31-Dec-2005,CHG.N^F13
1287,Pacific Gas and Electric Co,17-Feb-2006,31-Dec-2005,PCG_pa.A
1288,PG&E Corp,17-Feb-2006,31-Dec-2005,PCG.N
1289,ALLETE Inc,17-Feb-2006,31-Dec-2005,ALE.N
1290,CE Casecnan Water & Energy Co Inc,08-Feb-2006,31-Dec-2005,—
1291,Arkhan Corp,15-Dec-2005,30-Sep-2005,ATLS.OQ^B11
1292,Commerce Energy Group Inc,31-Oct-2005,31-Jul-2005,CMNR.PK
1293,New England Power Co,14-Jul-2005,31-Mar-2005,NEWEN.PK
1294,Niagara Mohawk Power Corp,29-Jun-2005,31-Mar-2005,NMK_pb.N
1295,Thermal Energy Storage Inc,10-Jun-2005,31-Dec-2004,THES.PK^L11
1296,Pacificorp,27-May-2005,31-Mar-2005,PPWLO.PK
1297,Baytown Energy Center LP,15-Apr-2005,31-Dec-2004,—
1298,Calpine Corp,31-Mar-2005,31-Dec-2004,CPN.N^C18
1299,Chugach Electric Association Inc,31-Mar-2005,31-Dec-2004,—
1300,US Energy Systems Inc,31-Mar-2005,31-Dec-2004,USEYQ.PK^B11
1301,AES Eastern Energy LP,31-Mar-2005,31-Dec-2004,—
1302,Energy Future Competitive Holdings Company LLC,31-Mar-2005,31-Dec-2004,TXHCO.PK^J05
1303,Baycorp Holdings Ltd,31-Mar-2005,31-Dec-2004,MWH.A^L05
1304,Environmental Power Corp,31-Mar-2005,31-Dec-2004,EPGRQ.PK
1305,Gexa Energy LP,31-Mar-2005,31-Dec-2004,GEXA.OQ^F05
1306,Oglethorpe Power Corp,31-Mar-2005,31-Dec-2004,—
1307,ESI Tractebel Funding Corp,31-Mar-2005,31-Dec-2004,—
1308,Centerpoint Energy Transition Bond Company LLC,31-Mar-2005,31-Dec-2004,—
1309,Helix Ironwood LLC (LEBANON),30-Mar-2005,31-Dec-2004,—
1310,Oncor Electric Delivery Transition Bond Company LLC,30-Mar-2005,31-Dec-2004,—
1311,AES Corp,30-Mar-2005,31-Dec-2004,AES.N
1312,Caithness Coso Funding Corp,30-Mar-2005,31-Dec-2004,—
1313,Red Oak Power LLC,30-Mar-2005,31-Dec-2004,—
1314,Pineapple Energy Inc,30-Mar-2005,31-Dec-2004,PEGY.OQ
1315,Black Hills Power Inc,30-Mar-2005,31-Dec-2004,—
1316,Teco Capital Trust II,30-Mar-2005,31-Dec-2004,—
1317,Green Mountain Power Corp,29-Mar-2005,31-Dec-2004,GMP.N^D07
1318,Ormat Funding LLC,29-Mar-2005,31-Dec-2004,—
1319,Green Mountain Power Corp,29-Mar-2005,31-Dec-2004,GMP.N^D07
1320,Ormat Funding LLC,29-Mar-2005,31-Dec-2004,—
1321,Green Mountain Power Corp,29-Mar-2005,31-Dec-2004,GMP.N^D07
1322,Cap Rock Energy LLC,29-Mar-2005,31-Dec-2004,RKE.A^E06
1323,Duquesne Light Co,28-Mar-2005,31-Dec-2004,DQUEK.PK^D15
1324,Ipalco Enterprises Inc,24-Mar-2005,31-Dec-2004,IPL.N^C01
1325,Maine & Maritimes Corp,24-Mar-2005,31-Dec-2004,MAM.A^L10
1326,Centerpoint Energy Houston Electric LLC,24-Mar-2005,31-Dec-2004,HSLPP.PK^H09
1327,Texas Competitive Electric Holdings Company LLC,23-Mar-2005,31-Dec-2004,—
1328,Oncor Electric Delivery Company LLC,23-Mar-2005,31-Dec-2004,—
1329,Covanta Energy LLC,17-Mar-2005,31-Dec-2004,CVGYQ.PK^L04
1330,Msw Energy Holdings II LLC,17-Mar-2005,31-Dec-2004,—
1331,MSW Energy Holdings LLC,17-Mar-2005,31-Dec-2004,—
1332,WD Media LLC,17-Mar-2005,02-Jan-2005,KOMG.OQ^I07
1333,Connecticut Light and Power Co,17-Mar-2005,31-Dec-2004,CNLPL.PK
1334,Arizona Public Service Co,16-Mar-2005,31-Dec-2004,AZD.N^A00
1335,Tucson Electric Power Co,16-Mar-2005,31-Dec-2004,—
1336,Duke Energy Carolinas LLC,16-Mar-2005,31-Dec-2004,—
1337,Arizona Public Service Co,16-Mar-2005,31-Dec-2004,AZD.N^A00
1338,Delmarva Power & Light Co,16-Mar-2005,31-Dec-2004,DELML.OB^B07
1339,Atlantic City Electric Co,16-Mar-2005,31-Dec-2004,ANTEM.PK^C11
1340,Potomac Electric Power Co,16-Mar-2005,31-Dec-2004,—
1341,Pepco Holdings LLC,16-Mar-2005,31-Dec-2004,POM.N^C16
1342,Edison International,16-Mar-2005,31-Dec-2004,EIX.N
1343,Duke Energy Florida LLC,16-Mar-2005,31-Dec-2004,FLPWP.PK^C13
1344,Duke Energy Progress LLC,16-Mar-2005,31-Dec-2004,CPWPO.PK^C13
1345,Southern California Edison Co,16-Mar-2005,31-Dec-2004,SCE_pe.A^I20
1346,EME Homer City Generation LP,16-Mar-2005,31-Dec-2004,—
1347,Midwest Generation LLC,16-Mar-2005,31-Dec-2004,—
1348,Mission Energy Holding Co,16-Mar-2005,31-Dec-2004,—
1349,Edison Mission Energy,16-Mar-2005,31-Dec-2004,—
1350,Evergy Kansas South Inc,16-Mar-2005,31-Dec-2004,—
1351,Evergy Kansas Central Inc,16-Mar-2005,31-Dec-2004,WREGH.PK^F02
1352,Madison Gas and Electric Co,16-Mar-2005,31-Dec-2004,—
1353,Central Vermont Public Service Corp,16-Mar-2005,31-Dec-2004,CV.N^F12
1354,MGE Energy Inc,15-Mar-2005,31-Dec-2004,MGEE.OQ
1355,DTE Electric Co,15-Mar-2005,31-Dec-2004,—
1356,Detroit Edison Securitization Funding LLC,15-Mar-2005,31-Dec-2004,—
1357,DTE Energy Co,15-Mar-2005,31-Dec-2004,DTE.N
1358,TECO Energy Inc,15-Mar-2005,31-Dec-2004,TE.N^G16
1359,TodCo,15-Mar-2005,31-Dec-2004,THE.N^G07
1360,Dayton Power and Light Co,15-Mar-2005,31-Dec-2004,DAYPO.PK^J16
1361,Genon Energy Holdings LLC,15-Mar-2005,31-Dec-2004,MIR.N^L10
1362,SDG&E Funding LLC,15-Mar-2005,31-Dec-2004,—
1363,Empire District Electric Co,15-Mar-2005,31-Dec-2004,EDE.N^A17
1364,Avangrid Inc,14-Mar-2005,31-Dec-2004,AGR.N
1365,El Paso Electric Co,14-Mar-2005,31-Dec-2004,EE.N^G20
1366,Cleco Corporate Holdings LLC,14-Mar-2005,31-Dec-2004,CNL.N^D16
1367,Avangrid Inc,14-Mar-2005,31-Dec-2004,AGR.N
1368,Otter Tail Corp,14-Mar-2005,31-Dec-2004,OTTR.OQ
1369,Evergy Missouri West Inc,14-Mar-2005,31-Dec-2004,ILA.N^G08
1370,DPL Inc,11-Mar-2005,31-Dec-2004,DPL.N^K11
1371,Portland General Electric Co,11-Mar-2005,31-Dec-2004,POR.N
1372,Hawaiian Electric Company Inc,11-Mar-2005,31-Dec-2004,HAWLI.PK
1373,Wisconsin Electric Power Co,11-Mar-2005,31-Dec-2004,WELPP.PK
1374,Baltimore Gas and Electric Co,11-Mar-2005,31-Dec-2004,BGLEN.PK^I16
1375,Potomac Edison Co,11-Mar-2005,31-Dec-2004,—
1376,Allegheny Generating Co,11-Mar-2005,31-Dec-2004,—
1377,Allegheny Energy Inc,10-Mar-2005,31-Dec-2004,AYE.N^B11
1378,CMS Energy Corp,10-Mar-2005,31-Dec-2004,CMS.N
1379,Texas-New Mexico Power Co,09-Mar-2005,31-Dec-2004,—
1380,TNP Enterprises Inc,09-Mar-2005,31-Dec-2004,—
1381,Wec Acquisition Corp,09-Mar-2005,31-Dec-2004,TEG.N^F15
1382,Idacorp Inc,09-Mar-2005,31-Dec-2004,IDA.N
1383,Evergy Metro Inc,07-Mar-2005,31-Dec-2004,—
1384,Alliant Energy Corp,04-Mar-2005,31-Dec-2004,LNT.OQ
1385,Xcel Energy Inc,04-Mar-2005,31-Dec-2004,XEL.OQ
1386,Northern States Power Co (Wisconsin),04-Mar-2005,31-Dec-2004,—
1387,Northern States Power Co,04-Mar-2005,31-Dec-2004,—
1388,Southwestern Public Service Co,04-Mar-2005,31-Dec-2004,SPS.N^H97
1389,Public Service Company of New Mexico,02-Mar-2005,31-Dec-2004,PNMXO.PK
1390,PNM Resources Inc,01-Mar-2005,31-Dec-2004,PNM.N
1391,PPL Corp,01-Mar-2005,31-Dec-2004,PPL.N
1392,Berkshire Hathaway Energy Co,01-Mar-2005,31-Dec-2004,—
1393,Calenergy Minerals LLC,01-Mar-2005,31-Dec-2004,—
1394,MidAmerican Energy Co,28-Feb-2005,31-Dec-2004,—
1395,Dominion Energy Inc,28-Feb-2005,31-Dec-2004,D.N
1396,Dominion Energy South Carolina Inc,28-Feb-2005,31-Dec-2004,SCG_p.N^L09
1397,Florida Power & Light Co,28-Feb-2005,31-Dec-2004,ELB.N^L03
1398,Consolidated Edison Company of New York Inc,25-Feb-2005,31-Dec-2004,CEDNM.PK^E12
1399,OGE Energy Corp,25-Feb-2005,31-Dec-2004,OGE.N
1400,San Diego Gas & Electric Co,23-Feb-2005,31-Dec-2004,SDO_ph.A^J13
1401,NSTAR Electric Co,23-Feb-2005,31-Dec-2004,NSARO.PK
1402,UIL Holdings Corp (Pre-Merger),22-Feb-2005,31-Dec-2004,UIL.N^L15
1403,NSTAR,22-Feb-2005,31-Dec-2004,NST.DG^D12
1404,CH Energy Group Inc,17-Feb-2005,31-Dec-2004,CHG.N^F13
1405,CE Casecnan Water & Energy Co Inc,11-Feb-2005,31-Dec-2004,—
1406,ALLETE Inc,11-Feb-2005,31-Dec-2004,ALE.N
1407,Arkhan Corp,28-Dec-2004,30-Sep-2004,ATLS.OQ^B11
1408,Commerce Energy Group Inc,15-Nov-2004,31-Jul-2004,CMNR.PK
1409,Dayton Power and Light Co,05-Nov-2004,31-Dec-2003,DAYPO.PK^J16
1410,New England Power Co,29-Jun-2004,31-Mar-2004,NEWEN.PK
1411,Pacificorp,26-May-2004,31-Mar-2004,PPWLO.PK
1412,Thermal Energy Storage Inc,17-May-2004,31-Dec-2003,THES.PK^L11
1413,Maine & Maritimes Corp,22-Apr-2004,31-Dec-2003,MAM.A^L10
1414,Genon Energy Holdings LLC,19-Apr-2004,31-Dec-2003,MIR.N^L10
1415,US Energy Systems Inc,14-Apr-2004,31-Dec-2003,USEYQ.PK^B11
1416,Teco Capital Trust II,30-Mar-2004,31-Dec-2003,—
