,0,1,2,3,4
256,—,31-Dec-2019,US,Electric Utilities (NEC),20749108
257,—,31-Dec-2019,US,"—
+2",20746944
258,—,31-Dec-2019,US,Electric Utilities (NEC),20733087
259,—,31-Dec-2019,US,Electric Utilities (NEC),20731930
260,TERP.OQ^H20,31-Dec-2019,US,Alternative Electric Utilities,20721751
261,PEGY.OQ,31-Dec-2019,US,Electric Utilities (NEC),20720251
262,—,31-Dec-2019,US,Electric Utilities (NEC),20714398
263,—,31-Dec-2019,US,Electric Utilities (NEC),20708519
264,—,31-Dec-2019,US,—,20704201
265,VIA.OQ,31-Dec-2019,US,Electric Utilities (NEC),20689953
266,CNL.N^D16,31-Dec-2019,US,Electric Utilities (NEC),20683856
267,AGR.N,31-Dec-2019,US,Electric Utilities (NEC),20677186
268,PNM.N,31-Dec-2019,US,Electric Utilities (NEC),20677011
269,—,31-Dec-2019,US,Electric Utilities (NEC),20675606
270,ORA.N,31-Dec-2019,US,Alternative Electric Utilities,20674779
271,EVRG.OQ,31-Dec-2019,US,Electric Utilities (NEC),20674161
272,AEE.N,31-Dec-2019,US,"Multiline Utilities
+1",20672703
273,VST.N,31-Dec-2019,US,Electric Utilities (NEC),20665913
274,SCG_p.N^L09,31-Dec-2019,US,Electric Utilities (NEC),20665917
275,DPL.N^K11,31-Dec-2019,US,Electric Utilities (NEC),20664441
276,IPL.N^C01,31-Dec-2019,US,Electric Utilities (NEC),20664439
277,AES.N,31-Dec-2019,US,Electric Utilities (NEC),20664389
278,NRG.N,31-Dec-2019,US,Electric Utilities (NEC),20663296
279,EIX.N,31-Dec-2019,US,Electric Utilities (NEC),20662183
280,—,31-Dec-2019,US,Electric Utilities (NEC),20661732
281,WIPSI.PK^K15,31-Dec-2019,US,Electric Utilities (NEC),20659845
282,WELPP.PK,31-Dec-2019,US,Electric Utilities (NEC),20659725
283,WEC.N,31-Dec-2019,US,Electric Utilities (NEC),20659490
284,OGE.N,31-Dec-2019,US,Electric Utilities (NEC),20657588
285,CNLPL.PK,31-Dec-2019,US,Electric Utilities (NEC),20657752
286,EE.N^G20,31-Dec-2019,US,Electric Utilities (NEC),20658215
287,MGEE.OQ,31-Dec-2019,US,Electric Utilities (NEC),20657954
288,—,31-Dec-2019,US,Fossil Fuel Electric Utilities,20657586
289,CPN.N^C18,31-Dec-2019,US,Electric Utilities (NEC),20646951
290,PSD.N^B09,31-Dec-2019,US,Electric Utilities (NEC),20640855
291,—,31-Dec-2019,US,Electric Utilities (NEC),20640139
292,—,31-Dec-2019,US,Electric Utilities (NEC),20640016
293,—,31-Dec-2019,US,Electric Utilities (NEC),20640019
294,SPS.N^H97,31-Dec-2019,US,Electric Utilities (NEC),20640008
295,XEL.OQ,31-Dec-2019,US,Electric Utilities (NEC),20639617
296,AZD.N^A00,31-Dec-2019,US,Electric Utilities (NEC),20637470
297,CEDNM.PK^E12,31-Dec-2019,US,"Multiline Utilities
+1",20636198
298,OTTR.OQ,31-Dec-2019,US,Electric Utilities (NEC),20635163
299,IDA.N,31-Dec-2019,US,Electric Utilities (NEC),20632598
300,NEP.N,31-Dec-2019,US,Electric Utilities (NEC),20625867
301,—,31-Dec-2019,US,Electric Utilities (NEC),20624735
302,TAECM.PK^L04,31-Dec-2019,US,Electric Utilities (NEC),20623228
