,0,1,2,3,4
213,—,31-Dec-2020,US,Electric Utilities (NEC),21695046
214,ORA.N,31-Dec-2020,US,Alternative Electric Utilities,21691400
215,HAWLI.PK,31-Dec-2020,US,Electric Utilities (NEC),21687627
216,EGRKM.PK^K18,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21686108
217,VST.N,31-Dec-2020,US,Electric Utilities (NEC),21683819
218,EVRG.OQ,31-Dec-2020,US,Electric Utilities (NEC),21683620
219,PSD.N^B09,31-Dec-2020,US,Electric Utilities (NEC),21682909
220,OGE.N,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21675541
221,SDO_ph.A^J13,31-Dec-2020,US,"Electric Utilities (NEC)
+2",21681374
222,—,31-Dec-2020,US,Electric Utilities (NEC),21681647
223,EIX.N,31-Dec-2020,US,Electric Utilities (NEC),21680423
224,—,31-Dec-2020,US,"Electric Utilities (NEC)
+2",21679574
225,WIPSI.PK^K15,31-Dec-2020,US,Electric Utilities (NEC),21678472
226,WELPP.PK,31-Dec-2020,US,Electric Utilities (NEC),21678413
227,WEC.N,31-Dec-2020,US,Electric Utilities (NEC),21678288
228,—,31-Dec-2020,US,Electric Utilities (NEC),21676559
229,PCG.N,31-Dec-2020,US,Electric Utilities (NEC),21676565
230,SCG_p.N^L09,31-Dec-2020,US,Electric Utilities (NEC),21676568
231,D.N,31-Dec-2020,US,Electric Utilities (NEC),21676541
232,CNP.N,31-Dec-2020,US,"Multiline Utilities
+2",21676290
233,AES.N,31-Dec-2020,US,Electric Utilities (NEC),21675495
234,OGE.N,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21675542
235,IPL.N^C01,31-Dec-2020,US,Electric Utilities (NEC),21675571
236,DPL.N^K11,31-Dec-2020,US,Electric Utilities (NEC),21675546
237,ANTEM.PK^C11,31-Dec-2020,US,Electric Utilities (NEC),21672122
238,MGEE.OQ,31-Dec-2020,US,Electric Utilities (NEC),21670562
239,AZD.N^A00,31-Dec-2020,US,Electric Utilities (NEC),21668677
240,AEE.N,31-Dec-2020,US,"Multiline Utilities
+1",21661514
241,OTTR.OQ,31-Dec-2020,US,Electric Utilities (NEC),21655067
242,LNT.OQ,31-Dec-2020,US,Electric Utilities (NEC),21654587
243,—,31-Dec-2020,US,Electric Utilities (NEC),21654063
244,POR.N,31-Dec-2020,US,Electric Utilities (NEC),21651411
245,CEDNM.PK^E12,31-Dec-2020,US,"Multiline Utilities
+1",21650181
246,KUTLP.PK^J05,31-Dec-2020,US,"Electric Utilities (NEC)
+1",21648831
247,IDA.N,31-Dec-2020,US,Electric Utilities (NEC),21647705
248,FE.N,31-Dec-2020,US,Electric Utilities (NEC),21647625
